# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.fastMisses,1773505955026000000,1773505962574000000,13
FileNameCache.totalMisses,1773505955026000000,1773505962574000000,12
FileNameCache.queries,1773505955026000000,1773505962574000000,37
NonBlockingReadAction.finalizedExecutionTimeUs,1773505955026000000,1773505962574000000,331488
NonBlockingReadAction.failedExecutionsCount,1773505955026000000,1773505962574000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773505955026000000,1773505962574000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773505955026000000,1773505962574000000,15
FilePageCache.totalPageLoadsUs,1773505955026000000,1773505962574000000,126651
DirectByteBufferAllocator.reclaimed,1773505955026000000,1773505962574000000,0
FilePageCache.disposedBuffers,1773505955026000000,1773505962574000000,233
DirectByteBufferAllocator.disposed,1773505955026000000,1773505962574000000,233
FilePageCache.capacityInBytes,1773505955026000000,1773505962574000000,524288000
DirectByteBufferAllocator.hits,1773505955026000000,1773505962574000000,0
FilePageCache.pageHits,1773505955026000000,1773505962574000000,0
FilePageCache.totalPageDisposalsUs,1773505955026000000,1773505962574000000,230
DirectByteBufferAllocator.misses,1773505955026000000,1773505962574000000,233
StorageLockContext.competingThreads.avg,1773505955026000000,1773505962574000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1773505955026000000,1773505962574000000,0
StorageLockContext.competingThreads.90P,1773505955026000000,1773505962574000000,0
FilePageCache.maxRegisteredFiles,1773505955026000000,1773505962574000000,612
FilePageCache.maxCacheSizeInBytes,1773505955026000000,1773505962574000000,246448128
FilePageCache.uncachedFileAccess,1773505955026000000,1773505962574000000,132
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773505955026000000,1773505962574000000,0
FilePageCache.pageLoads,1773505955026000000,1773505962574000000,233
FilePageCache.pageFastCacheHits,1773505955026000000,1773505962574000000,4772
StorageLockContext.competingThreads.max,1773505955026000000,1773505962574000000,0
